run_id,fault_id,fault_mode,seed,activation_confirmed,activation_host_time,injection_host_time,detection_observed,detection_event,detection_host_time,detection_latency_ms,offline_observed,restore_command_host_time,restore_confirmation_host_time,recovery_observed,recovery_host_time,recovery_time_ms,controller_restart_marker_observed,outcome,invalid_reason
R033_P01,P01,SILENT,20260830,True,2026-08-29T19:15:08.927898+00:00,2026-08-29T19:15:08.884384+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:15:09.070411+00:00,187.0,True,2026-08-29T19:15:12.932469+00:00,2026-08-29T19:15:12.975469+00:00,True,2026-08-29T19:15:13.431786+00:00,500.0,False,DETECTED_RECOVERY_OBSERVED,
R034_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:15:17.846873+00:00,2026-08-29T19:15:17.783364+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:15:17.910874+00:00,125.0,True,2026-08-29T19:15:21.850569+00:00,2026-08-29T19:15:21.902573+00:00,True,2026-08-29T19:15:21.950082+00:00,109.0,False,DETECTED_RECOVERY_OBSERVED,
R035_P03,P03,DELAYED,20260830,True,2026-08-29T19:15:27.334374+00:00,2026-08-29T19:15:27.271865+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:15:27.507893+00:00,250.0,True,2026-08-29T19:15:31.338707+00:00,2026-08-29T19:15:31.387704+00:00,True,2026-08-29T19:15:31.434214+00:00,94.0,False,DETECTED_RECOVERY_OBSERVED,
R036_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:15:36.767402+00:00,2026-08-29T19:15:36.734403+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:15:36.910912+00:00,171.0,True,2026-08-29T19:15:40.772721+00:00,2026-08-29T19:15:40.816723+00:00,True,2026-08-29T19:15:40.896231+00:00,125.0,False,DETECTED_RECOVERY_OBSERVED,
R037_P01,P01,SILENT,20260830,True,2026-08-29T19:15:46.574566+00:00,2026-08-29T19:15:46.520056+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:15:46.954618+00:00,437.0,True,2026-08-29T19:15:50.579748+00:00,2026-08-29T19:15:50.626248+00:00,True,2026-08-29T19:15:50.876657+00:00,297.0,False,DETECTED_RECOVERY_OBSERVED,
R038_P01,P01,SILENT,20260830,True,2026-08-29T19:15:55.675038+00:00,2026-08-29T19:15:55.629037+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:15:55.977566+00:00,360.0,True,2026-08-29T19:15:59.679694+00:00,2026-08-29T19:15:59.724698+00:00,True,2026-08-29T19:15:59.834654+00:00,140.0,False,DETECTED_RECOVERY_OBSERVED,
R039_P01,P01,SILENT,20260830,True,2026-08-29T19:16:04.966798+00:00,2026-08-29T19:16:04.904285+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:16:05.393490+00:00,485.0,True,2026-08-29T19:16:08.971198+00:00,2026-08-29T19:16:09.020207+00:00,True,2026-08-29T19:16:09.320751+00:00,359.0,False,DETECTED_RECOVERY_OBSERVED,
R040_P03,P03,DELAYED,20260830,True,2026-08-29T19:16:14.335634+00:00,2026-08-29T19:16:14.283116+00:00,True,[OBC] PAYLOAD_TIMEOUT consecutive=1,2026-08-29T19:16:14.874814+00:00,594.0,True,2026-08-29T19:16:18.341713+00:00,2026-08-29T19:16:18.579746+00:00,True,2026-08-29T19:16:18.784784+00:00,437.0,False,DETECTED_RECOVERY_OBSERVED,
R041_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:16:23.890680+00:00,2026-08-29T19:16:23.837679+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:16:24.268465+00:00,422.0,True,2026-08-29T19:16:27.896207+00:00,2026-08-29T19:16:27.938715+00:00,True,2026-08-29T19:16:28.252361+00:00,359.0,False,DETECTED_RECOVERY_OBSERVED,
R042_P02,P02,BAD_CRC,20260830,True,2026-08-29T19:16:33.312336+00:00,2026-08-29T19:16:33.260338+00:00,True,[OBC] PAYLOAD_REJECT reason=CRC,2026-08-29T19:16:33.757458+00:00,500.0,True,2026-08-29T19:16:37.319087+00:00,2026-08-29T19:16:37.364597+00:00,True,2026-08-29T19:16:37.730135+00:00,422.0,False,DETECTED_RECOVERY_OBSERVED,
